id,company_id,tag_id
1,1,136
2,1,51
3,1,117
4,1,8
5,2,47
6,2,51
7,2,5
8,3,43
9,3,51
10,4,24
11,4,51
12,5,171
13,5,51
14,6,16
15,6,51
16,6,180
17,7,20
18,7,51
19,7,138
20,7,129
21,8,9
22,8,51
23,9,47
24,9,51
25,9,69
26,10,41
27,10,51
28,10,143
29,10,105
30,10,159
31,11,128
32,11,51
33,12,64
34,12,51
35,12,80
36,12,31
37,13,20
38,13,51
39,13,183
40,14,18
41,14,51
42,14,2
43,15,9
44,15,51
45,15,7
46,15,58
47,16,103
48,16,1
49,16,6
50,16,68
51,16,2
52,17,24
53,17,1
54,17,15
55,17,93
56,17,66
57,18,18
58,18,25
59,18,184
60,18,14
61,18,17
62,19,22
63,19,1
64,19,61
65,19,11
66,19,8
67,20,48
68,20,1
69,21,48
70,21,1
71,22,30
72,22,1
73,22,6
74,23,48
75,23,1
76,24,155
77,24,25
78,25,47
79,25,1
80,25,5
81,25,142
82,25,88
83,26,18
84,26,1
85,26,52
86,26,2
87,26,26
88,27,9
89,27,1
90,27,6
91,27,21
92,27,34
93,28,46
94,28,1
95,29,24
96,29,1
97,29,5
98,29,2
99,29,31
100,30,37
101,30,1
102,31,16
103,31,1
104,32,20
105,32,1
106,33,24
107,33,1
108,33,2
109,33,5
110,34,46
111,34,1
112,34,15
113,35,1
114,36,16
115,36,1
116,37,50
117,37,1
118,37,8
119,37,15
120,38,43
121,38,1
122,38,2
123,39,46
124,39,1
125,40,45
126,40,1
127,40,40
128,40,2
129,40,14
130,41,1
131,42,9
132,42,1
133,43,115
134,43,1
135,43,8
136,44,48
137,44,1
138,45,9
139,45,1
140,46,71
141,46,25
142,46,2
143,46,5
144,47,12
145,47,1
146,47,124
147,47,2
148,48,46
149,48,1
150,48,6
151,49,16
152,49,1
153,49,2
154,49,5
155,49,6
156,50,12
157,50,1
158,50,6
159,50,21
160,51,22
161,51,1
162,52,16
163,52,1
164,52,38
165,52,8
166,53,16
167,53,1
168,54,20
169,54,1
170,54,201
