id,name,role,company_id
1,"Nathan Blecharczyk, CTO",CTO,1
2,"Brian Chesky, CEO",CEO,1
3,"Joe Gebbia, CPO",CPO,1
4,Curtis Liu,CTO,2
5,Spenser Skates,CEO,2
6,Andy Fang,Founder,3
7,Stanley Tang,Founder,3
8,Tony Xu,CEO,3
9,Brian Armstrong,CEO,4
10,Arash Ferdowsi,,5
11,"Drew Houston, CEO",CEO,5
12,Brandon Moak,CTO,6
13,Alex Rodrigues,CEO,6
14,Barry Canton,Founder,7
15,Austin Che,Founder,7
16,Jason Kelly,Founder,7
17,Tom Knight,Founder,7
18,Reshma Shetty,Founder,7
19,Debkishore Mitra,Founder,8
20,Matt Bell,Founder,9
21,David Gausebeck,CTO,9
22,Baskar Puvanathasan,Software Engineer / Product Manager,11
23,Alex Solomon,CTO,11
24,Chad Rigetti,CEO,13
25,Clint Berry,CTO,14
26,Brandon Rodman,CEO,14
27,Jared Rodman,COO,14
28,Sid Sijbrandij,CEO,15
29,Dmitriy Zaporozhets,CTO,15
30,John Collison,President,16
31,Patrick Collison,Content Strategist,16
32,"Brandon Leonardo, Grocery Hacker",Grocery Hacker,17
33,"Apoorva Mehta, CEO",CEO,17
34,Max Mullen,,17
35,"Kyle Vogt, CEO",CEO,18
36,"Daniel Kan, COO",COO,18
37,"Devin Finzer, CEO",CEO,19
38,Alex Atallah,,19
39,Marcelo Cortes,CTO,20
40,Daniele Perito,Founder,20
41,Max Rhodes,CEO,20
42,Henrique Dubugras,CEO,21
43,Pedro Franceschi,Founder,21
44,Alex Bouaziz,CEO,22
45,Shuo Wang,Founder,22
46,Parker Conrad,CEO,23
47,Prasanna S,CTO,23
48,Steve Huffman,CEO,24
49,"Edward Kim, ; Empowering Gusto's Engineering Team",; Empowering Gusto's Engineering Team,25
50,"Tomer London, ; Empowering Gusto's Product and Design Teams",; Empowering Gusto's Product and Design Teams,25
51,"Josh Reeves, CEO",CEO,25
52,Ryan Petersen,CEO,26
53,Shashank Kumar,Founder,27
54,Harshil Mathur,CEO,27
55,Alexandr Wang,CEO,28
56,Sajith Wickramasekara,CEO,29
57,Taylor Brown,COO,30
58,George Fraser,Founder,30
59,Simon Borrero,CEO,31
60,Sebastian Mejia,Founder,31
61,Felipe Villamarin,Founder,31
62,"Daniel Yanisse, CEO",CEO,32
63,"Jonathan Perichon, CTO",CTO,32
64,Wade Foster,,33
65,"Mike Knoop, President",President,33
66,"Bryan Helmig, CTO, , engineer",engineer,33
67,Vidit Aatrey,CEO,34
68,Sanjeev Barnwal,CTO,34
69,"Jonas Templestein, CTO",CTO,35
70,Tim Ellis,CEO,36
71,Logan Head,Founder,37
72,Grant LaFontaine,CEO,37
73,Bryant Chou,CTO,38
74,Sergie Magdalin,CPO,38
75,Vlad Magdalin,Founder,38
76,Bob Violier,CTO,39
77,Robert Vis,CEO,39
78,Joey van Ommen,Head of Product & Partner,39
79,"Matt Feury, CTO",CTO,40
80,"Garrett Langley, CEO",CEO,40
81,"Grant Goodale, CTO",CTO,41
82,"Daniel Lewis, CEO",CEO,41
83,Jeff Lowe,Founder,42
84,Matthew McDonald,Founder,42
85,Jabbok Schlacks,Founder,42
86,William Schlacks,President,42
87,Brad Siegler,Founder,42
88,Eddy Lu,Founder,43
89,Daishin Sugano,CPO,43
90,David Hsu,CEO,44
91,Mike Xu,"CEO, , President",45
92,Calvin French-Owen,,46
93,Ilya Volodarsky,,46
94,Jason Boehmig,CEO,47
95,Cai GoGwilt,CTO,47
96,ACA Adekoya,Founder,48
97,Olugbenga GB Agboola,Founder,48
98,Dennis Steele,,49
99,"Eric Rea, CEO",CEO,49
100,Bo Chen,CTO,50
101,Juan Gonzalez,Principal Software Engineer,50
102,Moses Lo,CEO,50
103,Ishan Bansal,Founder,51
104,Harsh Jain,COO,51
105,Lalit Keshre,CEO,51
106,Neeraj Singh,Founder,51
107,Nicholas Grandy,Founder,52
108,Amir Nathoo,Founder,52
109,Jack Altman,CEO,53
110,David Kirtley,CEO,54
111,Chris Pihl,CTO,54
112,"Matt Robinson, CEO",CEO,55
113,"Hiroki Takeuchi, CEO",CEO,55
114,"Nicolas Dessaigne, CEO",CEO,56
115,"Julien Lemoine, CTO",CTO,56
116,Spike Lipkin,CEO,57
117,Gordon Wintrob,CTO,57
118,Gaurab Chakrabarti,Founder,58
119,Sean Hunt,CTO,58
120,Andrew Barnes,CEO,59
121,Chris Eigeland,Founder,59
122,Chris Hood,CTO,59
123,Vu Tran,Founder,59
124,Solomon Hykes,CEO,60
125,Dileep Thazhmon,,61
126,Matt Marcus,,62
127,Sam Aarons,,62
128,"Dimitri Dadiomov, CEO",CEO,62
129,Alexander Kates,CEO,63
130,Mitchell Kates,Tech,63
131,Divey Gulati,Founder,64
132,Dhruv Saxena,Founder,64
133,Will Canine,CPO,65
134,Chiu Chau,Founder,65
135,"Jason Tan, Executive Chairman",Executive Chairman,66
136,"Drew Durbin, CEO",CEO,67
137,"Lincoln Quirk, CPO",CPO,67
138,Mathilde Colin,CEO,68
139,Laurent Perrin,CTO,68
140,Christina Cacioppo,CEO,69
141,Umar Afridi,Founder,70
142,Sid Viswanathan,Founder,70
143,Matt Schulman,,71
144,"Rob McGinnis, CEO",CEO,72
145,Adam Brown,,73
146,"Jon Dahl, CEO",CEO,73
147,"Steve Heffernan, Head of Product",Head of Product,73
148,Matthew McClure,,73
149,"Chris Hull, Vice President of Customer Success",Vice President of Customer Success,74
